# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	720
#@/user_id	3f58877e-a7cc-40cc-b9f8-dce6e53b0ed7
a 	啊	c=4 d=3.03386 t=720
hai you 	還有	c=0 d=0.0895834 t=720
hai you hao duo de 	還有好多的	c=1 d=0.900325 t=720
hai you yi zhong qing kuang 	還有一種情況	c=1 d=0.410656 t=720
han 	涵	c=1 d=0.66034 t=720
hang 	行	c=1 d=0.224249 t=720
hao 	號	c=1 d=0.571209 t=720
hao de 	好的	c=1 d=0.064894 t=720
hao duo 	好多	c=0 d=0.0895834 t=720
hao xiang 	好像	c=3 d=0.199047 t=720
hao xiang shi 	好象是	c=0 d=0.0932394 t=720
hao xiang shi de o 	好象是的哦	c=1 d=0.937067 t=720
he er bu tong 	和而不同	c=1 d=0.289384 t=720
he li 	合力	c=0 d=0.0900325 t=720
he zi 	盒子	c=3 d=0.855685 t=720
heng xiang 	橫向	c=1 d=0.839457 t=720
hou 	後	c=1 d=0.677582 t=720
hou tai 	後臺	c=3 d=0.952639 t=720
huan jing 	環境	c=1 d=0.677057 t=720
huan yuan 	還原	c=1 d=0.628135 t=720
hui 	會	c=1 d=0.302378 t=720
hui dao zhi 	會導致	c=1 d=0.597501 t=720
hui fu 	回覆	c=1 d=0.178173 t=720
hui fu 	恢復	c=1 d=0.197891 t=720
hui fu chu chang 	恢復出廠	c=1 d=0.189191 t=720
hun 	混	c=1 d=0.0617291 t=720
huo qu 	獲取	c=1 d=0.499074 t=720
huo zhe 	或者	c=1 d=0.267135 t=720
ji 	即	c=1 d=0.331211 t=720
ji ben 	基本	c=1 d=0.29523 t=720
ji cun qi 	寄存器	c=1 d=0.486752 t=720
ji da 	極大	c=0 d=0.0733447 t=720
ji da gai lv 	極大概率	c=1 d=0.737123 t=720
ji da lei 	幾大類	c=0 d=0.172919 t=720
ji fen 	積分	c=0 d=0.292625 t=720
ji fen kuo da 	積分擴大	c=1 d=1.06029 t=720
ji fen kuo da fa da 	積分擴大發達	c=1 d=0.970446 t=720
ji fen lao da 	積分老大	c=1 d=1.20156 t=720
ji fen lao da fa da la wo er ma ni 	積分老大發達啦沃爾瑪你	c=1 d=0.995012 t=720
ji fen lao da fang shi 	積分老大方式	c=1 d=0.826959 t=720
ji qi 	機器	c=3 d=1.13381 t=720
ji shi 	即使	c=1 d=0.414783 t=720
ji yu 	基於	c=2 d=0.22274 t=720
ji zhong 	集中	c=0 d=0.00824965 t=720
jia 	嘉	c=1 d=0.265803 t=720
jia 	家	c=0 d=0.181435 t=720
jia fa da le fa da 	家發達了發達	c=1 d=0.923116 t=720
jia le fu 	家樂福	c=0 d=0.0932394 t=720
jia le fu da lu jia 	家樂福大陸架	c=1 d=0.937067 t=720
jia zai 	加載	c=1 d=0.238115 t=720
jian 	鍵	c=1 d=0.259425 t=720
jian du 	監督	c=0 d=0.0900325 t=720
jian du he li 	監督合力	c=1 d=0.904837 t=720
jian kang 	健康	c=0 d=0.184716 t=720
jian kang fa da 	健康發達	c=1 d=0.963041 t=720
jian kong fang 	檢控方	c=0 d=0.0970446 t=720
jiang 	將	c=2 d=0.932271 t=720
jiao ao 	驕傲	c=0 d=0.0980199 t=720
jiao yan 	校驗	c=1 d=0.104874 t=720
jie 	屆	c=1 d=0.527292 t=720
jie 	界	c=0 d=0.0522046 t=720
jie jue 	解決	c=2 d=0.548041 t=720
jie li fan dui 	竭力反對	c=0 d=0.099005 t=720
jie suo 	解鎖	c=0 d=0.0463013 t=720
jie suo hou 	解鎖後	c=1 d=0.465334 t=720
jin ru 	進入	c=4 d=0.817084 t=720
jing xiang 	鏡像	c=8 d=0.868283 t=720
jiu 	就	c=0 d=0.0574072 t=720
jiu ke yi 	就可以	c=1 d=0.57695 t=720
jiu xiang 	就像	c=1 d=0.444858 t=720
ju da 	巨大	c=0 d=0.0932394 t=720
ju ti 	具體	c=1 d=0.0939493 t=720
ka 	卡	c=0 d=0.192196 t=720
ka fei ji 	咖啡機	c=0 d=0.290189 t=720
ka la 	卡拉	c=0 d=0.00623495 t=720
ka la jiao 	卡拉膠	c=0 d=0.0946485 t=720
kai fa 	開發	c=0 d=0.1 t=715
kai guan 	開關	c=1 d=0.0699482 t=720
kai ji 	開機	c=2 d=0.942257 t=720
kai sa 	凱撒	c=0 d=0.0995012 t=720
kan 	看	c=0 d=0.00632918 t=720
kan dao 	看到	c=0 d=0.00658748 t=720
kan de la 	坎德拉	c=0 d=0.0970446 t=720
kan shi pin 	看視頻	c=1 d=0.063609 t=720
kao lv 	考慮	c=1 d=0.310367 t=720
ke neng 	可能	c=0 d=0.0402524 t=720
ke neng bu dui 	可能不對	c=1 d=0.404542 t=720
ke yi 	可以	c=1 d=0.491282 t=720
kuo da 	擴大	c=0 d=0.291644 t=720
la 	啦	c=0 d=0.830583 t=720
